strategy,chunk_id,document_id,source_file,title,owner,version,classification,chunk_number,chunk_text,chunk_length,processed_at
structure,structure_access_control_policy_chunk_1,access_control_policy,access_control_policy.txt,Access Control Policy,IT Department,1.0,Confidential,1,"Section: User Access

Access to systems is granted according to business responsibilities and the principle of least privilege.",127,2026-06-11 17:19:44
structure,structure_access_control_policy_chunk_2,access_control_policy,access_control_policy.txt,Access Control Policy,IT Department,1.0,Confidential,2,"Section: Confidential Documents

Only authorized employees may access confidential documents. Access permissions must be approved by management.",144,2026-06-11 17:19:44
structure,structure_access_control_policy_chunk_3,access_control_policy,access_control_policy.txt,Access Control Policy,IT Department,1.0,Confidential,3,"Section: Account Reviews

User accounts and permissions are reviewed regularly to ensure appropriate access levels.",115,2026-06-11 17:19:44
structure,structure_access_control_policy_chunk_4,access_control_policy,access_control_policy.txt,Access Control Policy,IT Department,1.0,Confidential,4,"Section: Access Revocation

When employees leave the company, their access rights must be removed immediately.",110,2026-06-11 17:19:44
structure,structure_customer_faq_chunk_1,customer_faq,customer_faq.txt,Customer FAQ,Customer Service Department,1.0,Public,1,"Section: Account Creation

Customers can create an account using their email address and a secure password. Verification emails are sent automatically.",151,2026-06-11 17:19:44
structure,structure_customer_faq_chunk_2,customer_faq,customer_faq.txt,Customer FAQ,Customer Service Department,1.0,Public,2,"Section: Order Tracking

Order status can be tracked through the customer portal. Tracking information is updated regularly.",124,2026-06-11 17:19:44
structure,structure_customer_faq_chunk_3,customer_faq,customer_faq.txt,Customer FAQ,Customer Service Department,1.0,Public,3,"Section: Contact Support

Customers may contact support through email, phone, or online chat. Response times depend on request complexity.",138,2026-06-11 17:19:44
structure,structure_customer_faq_chunk_4,customer_faq,customer_faq.txt,Customer FAQ,Customer Service Department,1.0,Public,4,"Section: Password Reset

Users can reset forgotten passwords using the account recovery process available on the website.",121,2026-06-11 17:19:44
structure,structure_customer_support_procedures_chunk_1,customer_support_procedures,customer_support_procedures.txt,Customer Support Procedures,Customer Service Department,1.0,Internal,1,"Section: Ticket Management

All customer inquiries should be recorded in the ticketing system. Tickets must be categorized and prioritized based on urgency.",156,2026-06-11 17:19:44
structure,structure_customer_support_procedures_chunk_2,customer_support_procedures,customer_support_procedures.txt,Customer Support Procedures,Customer Service Department,1.0,Internal,2,"Section: Response Times

Support teams should acknowledge customer requests within one business day. Critical issues should be escalated immediately.",149,2026-06-11 17:19:44
structure,structure_customer_support_procedures_chunk_3,customer_support_procedures,customer_support_procedures.txt,Customer Support Procedures,Customer Service Department,1.0,Internal,3,"Section: Escalation Process

Complex technical issues should be transferred to specialized teams when first-level support cannot resolve them.",142,2026-06-11 17:19:44
structure,structure_customer_support_procedures_chunk_4,customer_support_procedures,customer_support_procedures.txt,Customer Support Procedures,Customer Service Department,1.0,Internal,4,"Section: Customer Satisfaction

Customer feedback should be collected and reviewed regularly to improve service quality and operational efficiency.",147,2026-06-11 17:19:44
structure,structure_data_classification_policy_chunk_1,data_classification_policy,data_classification_policy.txt,Data Classification Policy,Compliance Department,1.0,Internal,1,"Section: Classification Levels

Information is classified as Public, Internal, Confidential, or Restricted depending on sensitivity.",132,2026-06-11 17:19:44
structure,structure_data_classification_policy_chunk_2,data_classification_policy,data_classification_policy.txt,Data Classification Policy,Compliance Department,1.0,Internal,2,"Section: Handling Requirements

Confidential information must be protected from unauthorized disclosure and stored securely.",124,2026-06-11 17:19:44
structure,structure_data_classification_policy_chunk_3,data_classification_policy,data_classification_policy.txt,Data Classification Policy,Compliance Department,1.0,Internal,3,"Section: Responsibilities

Employees are responsible for handling information according to its assigned classification level.",125,2026-06-11 17:19:44
structure,structure_data_classification_policy_chunk_4,data_classification_policy,data_classification_policy.txt,Data Classification Policy,Compliance Department,1.0,Internal,4,"Section: Review Process

Data classifications should be reviewed periodically to ensure that protection measures remain appropriate.",132,2026-06-11 17:19:44
structure,structure_data_retention_policy_chunk_1,data_retention_policy,data_retention_policy.txt,Data Retention Policy,Compliance Department,1.0,Internal,1,"Section: Retention Periods

Business records should be retained according to legal and operational requirements. Different categories of information may have different retention periods.",186,2026-06-11 17:19:44
structure,structure_data_retention_policy_chunk_2,data_retention_policy,data_retention_policy.txt,Data Retention Policy,Compliance Department,1.0,Internal,2,"Section: Data Disposal

Data that is no longer required should be securely deleted or archived. Disposal processes must be documented.",134,2026-06-11 17:19:44
structure,structure_data_retention_policy_chunk_3,data_retention_policy,data_retention_policy.txt,Data Retention Policy,Compliance Department,1.0,Internal,3,"Section: Compliance Monitoring

Retention procedures are periodically reviewed to ensure compliance with internal and external requirements.",140,2026-06-11 17:19:44
structure,structure_data_retention_policy_chunk_4,data_retention_policy,data_retention_policy.txt,Data Retention Policy,Compliance Department,1.0,Internal,4,"Section: Record Ownership

Departments are responsible for maintaining records and ensuring proper retention schedules are followed.",132,2026-06-11 17:19:44
