strategy,chunk_id,document_id,source_file,title,owner,version,classification,chunk_number,chunk_text,chunk_length,processed_at
overlap,overlap_access_control_policy_chunk_1,access_control_policy,access_control_policy.txt,Access Control Policy,IT Department,1.0,Confidential,1,Title: Access Control Policy Owner: IT Department Version: 1.0 Classification: Confidential Section: User Access Access to systems is granted according to business responsibilities and the principle of least privilege. Section: Confidential Documents Only authorized employees may access confidential documents. Access permissions must be approved by management. Section: Account Reviews User accounts and permissions are reviewed regularly to ensure appropriate access levels. Section: Access Revoca,500,2026-06-11 17:19:44
overlap,overlap_access_control_policy_chunk_2,access_control_policy,access_control_policy.txt,Access Control Policy,IT Department,1.0,Confidential,2,"s and permissions are reviewed regularly to ensure appropriate access levels. Section: Access Revocation When employees leave the company, their access rights must be removed immediately.",187,2026-06-11 17:19:44
overlap,overlap_customer_faq_chunk_1,customer_faq,customer_faq.txt,Customer FAQ,Customer Service Department,1.0,Public,1,"Title: Customer FAQ Owner: Customer Service Department Version: 1.0 Classification: Public Section: Account Creation Customers can create an account using their email address and a secure password. Verification emails are sent automatically. Section: Order Tracking Order status can be tracked through the customer portal. Tracking information is updated regularly. Section: Contact Support Customers may contact support through email, phone, or online chat. Response times depend on request complexi",500,2026-06-11 17:19:44
overlap,overlap_customer_faq_chunk_2,customer_faq,customer_faq.txt,Customer FAQ,Customer Service Department,1.0,Public,2,"may contact support through email, phone, or online chat. Response times depend on request complexity. Section: Password Reset Users can reset forgotten passwords using the account recovery process available on the website.",223,2026-06-11 17:19:44
overlap,overlap_customer_support_procedures_chunk_1,customer_support_procedures,customer_support_procedures.txt,Customer Support Procedures,Customer Service Department,1.0,Internal,1,Title: Customer Support Procedures Owner: Customer Service Department Version: 1.0 Classification: Internal Section: Ticket Management All customer inquiries should be recorded in the ticketing system. Tickets must be categorized and prioritized based on urgency. Section: Response Times Support teams should acknowledge customer requests within one business day. Critical issues should be escalated immediately. Section: Escalation Process Complex technical issues should be transferred to specializ,500,2026-06-11 17:19:44
overlap,overlap_customer_support_procedures_chunk_2,customer_support_procedures,customer_support_procedures.txt,Customer Support Procedures,Customer Service Department,1.0,Internal,2,immediately. Section: Escalation Process Complex technical issues should be transferred to specialized teams when first-level support cannot resolve them. Section: Customer Satisfaction Customer feedback should be collected and reviewed regularly to improve service quality and operational efficiency.,301,2026-06-11 17:19:44
overlap,overlap_data_classification_policy_chunk_1,data_classification_policy,data_classification_policy.txt,Data Classification Policy,Compliance Department,1.0,Internal,1,"Title: Data Classification Policy Owner: Compliance Department Version: 1.0 Classification: Internal Section: Classification Levels Information is classified as Public, Internal, Confidential, or Restricted depending on sensitivity. Section: Handling Requirements Confidential information must be protected from unauthorized disclosure and stored securely. Section: Responsibilities Employees are responsible for handling information according to its assigned classification level. Section: Review Pr",500,2026-06-11 17:19:44
overlap,overlap_data_classification_policy_chunk_2,data_classification_policy,data_classification_policy.txt,Data Classification Policy,Compliance Department,1.0,Internal,2,ponsible for handling information according to its assigned classification level. Section: Review Process Data classifications should be reviewed periodically to ensure that protection measures remain appropriate.,213,2026-06-11 17:19:44
overlap,overlap_data_retention_policy_chunk_1,data_retention_policy,data_retention_policy.txt,Data Retention Policy,Compliance Department,1.0,Internal,1,Title: Data Retention Policy Owner: Compliance Department Version: 1.0 Classification: Internal Section: Retention Periods Business records should be retained according to legal and operational requirements. Different categories of information may have different retention periods. Section: Data Disposal Data that is no longer required should be securely deleted or archived. Disposal processes must be documented. Section: Compliance Monitoring Retention procedures are periodically reviewed to ens,500,2026-06-11 17:19:44
overlap,overlap_data_retention_policy_chunk_2,data_retention_policy,data_retention_policy.txt,Data Retention Policy,Compliance Department,1.0,Internal,2,be documented. Section: Compliance Monitoring Retention procedures are periodically reviewed to ensure compliance with internal and external requirements. Section: Record Ownership Departments are responsible for maintaining records and ensuring proper retention schedules are followed.,286,2026-06-11 17:19:44
overlap,overlap_hr_policy_chunk_1,hr_policy,hr_policy.txt,HR Policy,HR Department,1.0,Internal,1,Title: HR Policy Owner: HR Department Version: 1.0 Classification: Internal Section: Working Hours Employees are expected to work eight hours per day and maintain regular communication with their managers. Flexible schedules may be approved depending on business needs and team requirements. Attendance should be recorded in the company's time tracking system. Section: Leave Requests Annual leave requests should be submitted through the HR system at least two weeks before the planned absence. Emer,500,2026-06-11 17:19:44
overlap,overlap_hr_policy_chunk_2,hr_policy,hr_policy.txt,HR Policy,HR Department,1.0,Internal,2,"quests should be submitted through the HR system at least two weeks before the planned absence. Emergency leave may be approved by direct managers. Sick leave should be reported as soon as possible. Section: Employee Conduct Employees are expected to follow company values, maintain professionalism, and respect workplace diversity. Harassment, discrimination, and inappropriate behavior are prohibited. Section: Performance Reviews Performance evaluations are conducted twice per year. Managers prov",500,2026-06-11 17:19:44
overlap,overlap_hr_policy_chunk_3,hr_policy,hr_policy.txt,HR Policy,HR Department,1.0,Internal,3,"ed. Section: Performance Reviews Performance evaluations are conducted twice per year. Managers provide feedback regarding achievements, development opportunities, and future objectives.",186,2026-06-11 17:19:44
overlap,overlap_incident_response_chunk_1,incident_response,incident_response.txt,Incident Response Procedure,IT Security Team,1.0,Confidential,1,"Title: Incident Response Procedure Owner: IT Security Team Version: 1.0 Classification: Confidential Section: Incident Identification Employees should recognize and report suspicious activities, malware infections, phishing attempts, or unauthorized access. Section: Immediate Actions After identifying a security incident, employees should disconnect affected devices from the network and notify the IT Security Team. Section: Investigation The security team investigates incidents, documents findin",500,2026-06-11 17:19:44
overlap,overlap_incident_response_chunk_2,incident_response,incident_response.txt,Incident Response Procedure,IT Security Team,1.0,Confidential,2,"IT Security Team. Section: Investigation The security team investigates incidents, documents findings, and implements corrective actions to prevent recurrence. Section: Recovery Systems should be restored according to approved recovery procedures and validated before returning to production.",292,2026-06-11 17:19:44
overlap,overlap_it_security_policy_chunk_1,it_security_policy,it_security_policy.txt,IT Security Policy,IT Department,1.0,Confidential,1,"Title: IT Security Policy Owner: IT Department Version: 1.0 Classification: Confidential Section: Password Management Passwords must contain at least twelve characters and include uppercase letters, lowercase letters, numbers, and special symbols. Password sharing is strictly prohibited. Section: Device Security All company laptops must use disk encryption and endpoint protection software. Operating systems should be updated regularly. Section: Network Security Employees should only use approved",500,2026-06-11 17:19:44
overlap,overlap_it_security_policy_chunk_2,it_security_policy,it_security_policy.txt,IT Security Policy,IT Department,1.0,Confidential,2,ng systems should be updated regularly. Section: Network Security Employees should only use approved network services. Unauthorized software installations are not allowed. Section: Incident Reporting Employees must immediately report suspected security incidents to the IT Security Team. Delayed reporting may increase business risk.,333,2026-06-11 17:19:44
overlap,overlap_onboarding_guide_chunk_1,onboarding_guide,onboarding_guide.txt,Employee Onboarding Guide,HR Department,1.0,Internal,1,"Title: Employee Onboarding Guide Owner: HR Department Version: 1.0 Classification: Internal Section: First Day New employees receive company equipment, access credentials, and an introduction to company policies. Section: Training Employees are required to complete mandatory training related to security, compliance, and workplace conduct. Section: Team Integration Managers are responsible for introducing new employees to their teams and assigning onboarding tasks. Section: Initial Objectives New",500,2026-06-11 17:19:44
overlap,overlap_onboarding_guide_chunk_2,onboarding_guide,onboarding_guide.txt,Employee Onboarding Guide,HR Department,1.0,Internal,2,oducing new employees to their teams and assigning onboarding tasks. Section: Initial Objectives New employees should review their role expectations and establish short-term goals with their manager.,199,2026-06-11 17:19:44
overlap,overlap_privacy_policy_chunk_1,privacy_policy,privacy_policy.txt,Privacy Policy,Compliance Department,1.0,Confidential,1,"Title: Privacy Policy Owner: Compliance Department Version: 1.0 Classification: Confidential Section: Personal Data Processing Personal data must be processed lawfully, fairly, and transparently. Data collection should be limited to information required for business purposes. Section: Data Subject Rights Individuals have the right to access, correct, and delete their personal information where applicable under regulations. Section: GDPR Compliance The company follows GDPR requirements and mainta",500,2026-06-11 17:19:44
overlap,overlap_privacy_policy_chunk_2,privacy_policy,privacy_policy.txt,Privacy Policy,Compliance Department,1.0,Confidential,2,licable under regulations. Section: GDPR Compliance The company follows GDPR requirements and maintains records of processing activities. Personal data breaches must be reported according to legal obligations. Section: Data Minimization Only necessary personal information should be collected and retained. Excessive collection of personal data is prohibited.,359,2026-06-11 17:19:44
