strategy,question,expected_document,retrieved_document,correct,similarity_score,chunk_id,source_file,owner,classification,retrieved_chunk_text
fixed,What is the remote work policy?,remote_work_policy,remote_work_policy,1,0.5212,fixed_remote_work_policy_chunk_1,remote_work_policy.txt,HR Department,Internal,Title: Remote Work Policy Owner: HR Department Version: 1.0 Classification: Internal Section: General Rules Employees may work remotely after manager approval. Remote work arrangements should support productivity and collaboration. Employees must remain available during agreed working hours. Section: Communication Remote employees must regularly attend meetings and respond to messages in a timely manner. Team collaboration tools should be used for daily communication. Section: Security Employees
fixed,How should personal data be processed?,privacy_policy,privacy_policy,1,0.5096,fixed_privacy_policy_chunk_1,privacy_policy.txt,Compliance Department,Confidential,"Title: Privacy Policy Owner: Compliance Department Version: 1.0 Classification: Confidential Section: Personal Data Processing Personal data must be processed lawfully, fairly, and transparently. Data collection should be limited to information required for business purposes. Section: Data Subject Rights Individuals have the right to access, correct, and delete their personal information where applicable under regulations. Section: GDPR Compliance The company follows GDPR requirements and mainta"
fixed,Who can access confidential documents?,access_control_policy,access_control_policy,1,0.6044,fixed_access_control_policy_chunk_1,access_control_policy.txt,IT Department,Confidential,Title: Access Control Policy Owner: IT Department Version: 1.0 Classification: Confidential Section: User Access Access to systems is granted according to business responsibilities and the principle of least privilege. Section: Confidential Documents Only authorized employees may access confidential documents. Access permissions must be approved by management. Section: Account Reviews User accounts and permissions are reviewed regularly to ensure appropriate access levels. Section: Access Revoca
fixed,What is the return policy?,returns_policy,returns_policy,1,0.2526,fixed_returns_policy_chunk_1,returns_policy.txt,Customer Service Department,Public,Title: Returns Policy Owner: Customer Service Department Version: 1.0 Classification: Public Section: Return Eligibility Products may be returned within thirty days of purchase if they are unused and in original condition. Section: Refund Process Refunds are processed after returned products have been inspected. Processing may take up to seven business days. Section: Exceptions Customized products and digital goods are generally not eligible for refunds unless required by law. Section: Return Sh
fixed,What should employees do after a security incident?,incident_response,incident_response,1,0.5647,fixed_incident_response_chunk_1,incident_response.txt,IT Security Team,Confidential,"Title: Incident Response Procedure Owner: IT Security Team Version: 1.0 Classification: Confidential Section: Incident Identification Employees should recognize and report suspicious activities, malware infections, phishing attempts, or unauthorized access. Section: Immediate Actions After identifying a security incident, employees should disconnect affected devices from the network and notify the IT Security Team. Section: Investigation The security team investigates incidents, documents findin"
fixed,How long are business records retained?,data_retention_policy,privacy_policy,0,0.2183,fixed_privacy_policy_chunk_2,privacy_policy.txt,Compliance Department,Confidential,ins records of processing activities. Personal data breaches must be reported according to legal obligations. Section: Data Minimization Only necessary personal information should be collected and retained. Excessive collection of personal data is prohibited.
fixed,What are password requirements?,it_security_policy,it_security_policy,1,0.204,fixed_it_security_policy_chunk_1,it_security_policy.txt,IT Department,Confidential,"Title: IT Security Policy Owner: IT Department Version: 1.0 Classification: Confidential Section: Password Management Passwords must contain at least twelve characters and include uppercase letters, lowercase letters, numbers, and special symbols. Password sharing is strictly prohibited. Section: Device Security All company laptops must use disk encryption and endpoint protection software. Operating systems should be updated regularly. Section: Network Security Employees should only use approved"
fixed,How can customers track orders?,customer_faq,returns_policy,0,0.2828,fixed_returns_policy_chunk_2,returns_policy.txt,Customer Service Department,Public,ipping Customers may be responsible for return shipping costs unless the product is defective or incorrectly delivered.
overlap,What is the remote work policy?,remote_work_policy,remote_work_policy,1,0.5193,overlap_remote_work_policy_chunk_1,remote_work_policy.txt,HR Department,Internal,Title: Remote Work Policy Owner: HR Department Version: 1.0 Classification: Internal Section: General Rules Employees may work remotely after manager approval. Remote work arrangements should support productivity and collaboration. Employees must remain available during agreed working hours. Section: Communication Remote employees must regularly attend meetings and respond to messages in a timely manner. Team collaboration tools should be used for daily communication. Section: Security Employees
overlap,How should personal data be processed?,privacy_policy,privacy_policy,1,0.5238,overlap_privacy_policy_chunk_1,privacy_policy.txt,Compliance Department,Confidential,"Title: Privacy Policy Owner: Compliance Department Version: 1.0 Classification: Confidential Section: Personal Data Processing Personal data must be processed lawfully, fairly, and transparently. Data collection should be limited to information required for business purposes. Section: Data Subject Rights Individuals have the right to access, correct, and delete their personal information where applicable under regulations. Section: GDPR Compliance The company follows GDPR requirements and mainta"
overlap,Who can access confidential documents?,access_control_policy,access_control_policy,1,0.6089,overlap_access_control_policy_chunk_1,access_control_policy.txt,IT Department,Confidential,Title: Access Control Policy Owner: IT Department Version: 1.0 Classification: Confidential Section: User Access Access to systems is granted according to business responsibilities and the principle of least privilege. Section: Confidential Documents Only authorized employees may access confidential documents. Access permissions must be approved by management. Section: Account Reviews User accounts and permissions are reviewed regularly to ensure appropriate access levels. Section: Access Revoca
overlap,What is the return policy?,returns_policy,returns_policy,1,0.3216,overlap_returns_policy_chunk_2,returns_policy.txt,Customer Service Department,Public,and digital goods are generally not eligible for refunds unless required by law. Section: Return Shipping Customers may be responsible for return shipping costs unless the product is defective or incorrectly delivered.
overlap,What should employees do after a security incident?,incident_response,incident_response,1,0.5544,overlap_incident_response_chunk_1,incident_response.txt,IT Security Team,Confidential,"Title: Incident Response Procedure Owner: IT Security Team Version: 1.0 Classification: Confidential Section: Incident Identification Employees should recognize and report suspicious activities, malware infections, phishing attempts, or unauthorized access. Section: Immediate Actions After identifying a security incident, employees should disconnect affected devices from the network and notify the IT Security Team. Section: Investigation The security team investigates incidents, documents findin"
overlap,How long are business records retained?,data_retention_policy,data_retention_policy,1,0.1956,overlap_data_retention_policy_chunk_1,data_retention_policy.txt,Compliance Department,Internal,Title: Data Retention Policy Owner: Compliance Department Version: 1.0 Classification: Internal Section: Retention Periods Business records should be retained according to legal and operational requirements. Different categories of information may have different retention periods. Section: Data Disposal Data that is no longer required should be securely deleted or archived. Disposal processes must be documented. Section: Compliance Monitoring Retention procedures are periodically reviewed to ens
overlap,What are password requirements?,it_security_policy,it_security_policy,1,0.2175,overlap_it_security_policy_chunk_1,it_security_policy.txt,IT Department,Confidential,"Title: IT Security Policy Owner: IT Department Version: 1.0 Classification: Confidential Section: Password Management Passwords must contain at least twelve characters and include uppercase letters, lowercase letters, numbers, and special symbols. Password sharing is strictly prohibited. Section: Device Security All company laptops must use disk encryption and endpoint protection software. Operating systems should be updated regularly. Section: Network Security Employees should only use approved"
overlap,How can customers track orders?,customer_faq,customer_faq,1,0.2509,overlap_customer_faq_chunk_1,customer_faq.txt,Customer Service Department,Public,"Title: Customer FAQ Owner: Customer Service Department Version: 1.0 Classification: Public Section: Account Creation Customers can create an account using their email address and a secure password. Verification emails are sent automatically. Section: Order Tracking Order status can be tracked through the customer portal. Tracking information is updated regularly. Section: Contact Support Customers may contact support through email, phone, or online chat. Response times depend on request complexi"
structure,What is the remote work policy?,remote_work_policy,remote_work_policy,1,0.4592,structure_remote_work_policy_chunk_1,remote_work_policy.txt,HR Department,Internal,"Section: General Rules

Employees may work remotely after manager approval. Remote work arrangements should support productivity and collaboration. Employees must remain available during agreed working hours."
structure,How should personal data be processed?,privacy_policy,privacy_policy,1,0.6356,structure_privacy_policy_chunk_1,privacy_policy.txt,Compliance Department,Confidential,"Section: Personal Data Processing

Personal data must be processed lawfully, fairly, and transparently. Data collection should be limited to information required for business purposes."
structure,Who can access confidential documents?,access_control_policy,access_control_policy,1,0.8259,structure_access_control_policy_chunk_2,access_control_policy.txt,IT Department,Confidential,"Section: Confidential Documents

Only authorized employees may access confidential documents. Access permissions must be approved by management."
structure,What is the return policy?,returns_policy,returns_policy,1,0.477,structure_returns_policy_chunk_4,returns_policy.txt,Customer Service Department,Public,"Section: Return Shipping

Customers may be responsible for return shipping costs unless the product is defective or incorrectly delivered."
structure,What should employees do after a security incident?,incident_response,incident_response,1,0.4587,structure_incident_response_chunk_2,incident_response.txt,IT Security Team,Confidential,"Section: Immediate Actions

After identifying a security incident, employees should disconnect affected devices from the network and notify the IT Security Team."
structure,How long are business records retained?,data_retention_policy,data_retention_policy,1,0.3424,structure_data_retention_policy_chunk_1,data_retention_policy.txt,Compliance Department,Internal,"Section: Retention Periods

Business records should be retained according to legal and operational requirements. Different categories of information may have different retention periods."
structure,What are password requirements?,it_security_policy,it_security_policy,1,0.2986,structure_it_security_policy_chunk_1,it_security_policy.txt,IT Department,Confidential,"Section: Password Management

Passwords must contain at least twelve characters and include uppercase letters, lowercase letters, numbers, and special symbols. Password sharing is strictly prohibited."
